frame,center_x,center_y,radius,num_points,fitting_error
0,-2.4193068453077915,-1.489580498086497,0.01634073881951325,8,0.0
0,-2.4188491599594264,-1.6128306842999667,0.01635402618932789,10,0.018886346603503194
0,-2.4022259863862407,1.4832131681662917,0.016673737800286536,9,0.016980366303005423
0,-2.5483286599096857,1.3284866743687682,0.01690620728371097,12,0.017083750877232354
1,-2.419442528085153,-1.4704748155656044,0.016597706221109097,9,0.019933440451313032
1,-2.4160575971016858,-1.6048417366123533,0.016173863761704137,9,0.0035479543048166744
1,-2.3790450429666627,1.4871620317070111,0.017264806441398314,10,0.0
1,-2.4089489450613812,1.3319358238390648,0.016705944234031763,13,0.016757577443034452
1,-2.5662398071945938,1.3232147058030737,0.016603529774660404,12,0.0024603729576466744
2,-2.589940765858995,-1.4745544776965842,0.015633676785975638,14,0.022408550748146596
2,-2.423394416292349,-1.4735533518763828,0.01563381758138572,9,0.01349209510220363
2,-2.422714123919503,-1.6416359220269536,0.01651922692100979,9,0.0
2,-2.4017973752237234,1.4823925433368976,0.01647163033378334,10,0.022922003791440146
2,-2.5298789220565823,1.4775786089525995,0.01746828052551429,9,0.0
2,-2.407776587359628,1.3286684529801953,0.01590245324026188,13,0.021131045723095
2,-2.55427537271706,1.325157867641681,0.016276611586757053,12,0.01958021402169668
3,-2.4202458569314116,-1.4776103482852148,0.015798992520837548,10,0.016049991811101245
3,-2.406249088314653,1.4842728719406606,0.01607144685789018,9,0.014168933600037298
3,-2.5270044760138854,1.4824837921585032,0.017471295904063013,9,0.0
3,-2.4113071635368515,1.3304101755932474,0.015460428896200884,12,0.016905937968840212
3,-2.5637493731461465,1.3279449913160457,0.016185114047872085,13,0.0018531884270855696
4,-2.5893904676296877,-1.4742393265921672,0.015827521067297814,14,0.022571766226566148
4,-2.41924466163291,-1.4734320574753776,0.01596216128091837,10,0.019567271096248003
4,-2.4185851895530637,-1.6331173383055273,0.015426032445300763,10,0.01312209254578945
4,-2.4087714250533123,1.4838426824992967,0.01628774784667225,9,0.0028899061828071646
4,-2.5567614628446247,1.4828724199265868,0.01466736932283428,9,0.0
4,-2.4104960370913338,1.32743285845621,0.016374012783568,13,0.02188021315135477
4,-2.5337697724984816,1.338274380941439,0.016755203328653143,11,0.0
5,-2.412453215637794,-1.4725383697998495,0.016427200862276857,8,0.019843285064365647
5,-2.4164019036781514,-1.6245646373290656,0.0165877042819573,10,0.021124386543642137
5,-2.4001078769975,1.4841700078848523,0.016902301284359267,9,0.017778292848200414
5,-2.5393507623885676,1.47622580629789,0.016760695379429442,10,0.024752537751592724
5,-2.4073854612957857,1.3352968319085095,0.016220540608195964,12,0.018238343361988305
5,-2.554763572190799,1.3273422277348155,0.016139478586565295,11,0.016656951858746518
