frame,center_x,center_y,radius,num_points,fitting_error
0,-1.3616954687640024,-1.6141290831810708,0.016086636428902304,11,0.00417653732671419
0,-1.238164900119553,-1.628527020278959,0.01586584269363067,9,0.004735253592739395
0,-1.222668088372801,1.5286517817391565,0.016356918228222758,12,0.013672512771983095
0,-1.367915781147219,1.5272016793423868,0.01590988146226194,10,0.01599755521831452
1,-1.3651868275411523,-1.603946958050048,0.015730707945653285,14,0.022322750151253234
1,-1.2380993371617515,-1.6244847314294857,0.01576547869331824,8,0.0017733047713906769
1,-1.2153398284291494,1.5266361138985782,0.01491758374342618,13,0.024730954733118996
1,-1.375867978507124,1.5267107270935532,0.01602574357374881,12,0.015151107904112724
2,-1.3646805788085288,-1.6043855714889113,0.01606142186239661,14,0.020282174148895698
2,-1.2358694067117246,-1.621307962334139,0.016028305997174457,8,0.003185708637644865
2,-1.2210283702369629,1.528010695759201,0.01608432382587514,11,0.01479129565262672
2,-1.3764174166004002,1.5263028502427503,0.016045584534169634,12,0.013782500414810467
3,-1.3623450982020366,-1.6149008632509065,0.016096176486402065,11,0.004180055421110786
3,-1.2205490344542833,1.5269640344965603,0.016148590184461437,12,0.015294754501349511
3,-1.3738273872111921,1.5244778804299157,0.01605060801223941,12,0.017906416880283393
4,-1.3533081702686494,-1.6119450969564324,0.01592862239608208,12,0.02185542192612209
4,-1.238276937675022,-1.624466267855153,0.01606193211277127,8,0.0032001218270748667
4,-1.2215937364859282,1.526359315685384,0.016155074678088972,12,0.013497782500337405
4,-1.3736176708645322,1.5275466292318771,0.01597695681587894,12,0.011669100253097916
5,-1.3625511893495759,-1.6171480408307943,0.01647554212073652,12,0.004658609815790902
5,-1.2351619305881465,-1.6203802312581566,0.016189536167698693,8,0.003619095049868934
5,-1.2218782479800194,1.528586331961481,0.015567395218388524,12,0.014013387516217732
5,-1.3765150417064833,1.526479580747146,0.01569835100162125,12,0.011970825935957894
6,-1.3619525678581934,-1.6199757373825168,0.014986803247782732,11,0.0
6,-1.2211639397995302,1.5290438267805118,0.016211513511758133,12,0.016121247634257815
6,-1.3673751052467689,1.5263030707718273,0.015819740685614803,12,0.015451424181303896
7,-1.3566398958919257,-1.611879935091432,0.016432516955173778,12,0.01932876747631934
7,-1.2351619305881465,-1.6203802312581566,0.016189536167698693,8,0.003619095049868934
7,-1.2215405283233105,1.5276838720620656,0.016075849675373594,12,0.012966479452669299
7,-1.3654293571844347,1.5258059048916595,0.01564875512672827,11,0.014391251200403238
8,-1.3663547773050724,-1.6065492132370172,0.01604532954640763,14,0.018932472524141316
8,-1.2422371883017862,-1.6275447845781084,0.016953821354035347,8,0.017702154803111398
8,-1.2212173499120527,1.5270370732070864,0.01623487249535603,12,0.015565122839344001
8,-1.3722565743111386,1.5235392565346806,0.0159228533651183,12,0.01856929237652813
9,-1.3661329735425642,-1.603896198747887,0.016333241190152246,13,0.019233218368957253
9,-1.2257905554769086,-1.6223468600143072,0.016071898106731004,9,0.012216288074428502
9,-1.2195441111942071,1.5313296780768981,0.016133325774357568,13,0.015267880180793461
9,-1.3747473700651631,1.5262107609905573,0.01614859443004008,13,0.015007570632290454
10,-1.3576490434741635,-1.622053238476636,0.017367089391698065,10,0.0
10,-1.2534268567190543,-1.6420712656509648,0.017151723043235995,7,0.01983995756529629
10,-1.2258363977865687,1.5298085513973239,0.01593999179873469,12,0.011139354106176336
10,-1.3767964034978204,1.5247405407362091,0.015922019828501863,13,0.014574985018051465
