frame, idx, angle_rad   , range_m , x        , y
    4, 354, -0.296911940, 1.339000, 1.280412 , -0.391749
    4, 355, -0.291094758, 1.326000, 1.270216 , -0.380563
    4, 356, -0.285277575, 1.327000, 1.273367 , -0.373449
    4, 357, -0.279460393, 1.335000, 1.283208 , -0.368242
    4, 358, -0.273643211, 1.354000, 1.303621 , -0.365906
    4, 789, 2.233562388 , 1.648000, -1.014014, 1.299107
    4, 804, 2.320820123 , 1.802000, -1.228344, 1.318474
    4, 807, 2.338271670 , 1.833000, -1.272690, 1.319148
    4, 808, 2.344088852 , 1.826000, -1.275452, 1.306713
    4, 810, 2.355723217 , 0.052000, -0.036752, 0.036787
    5, 309, -0.558685146, 1.378000, 1.168479 , -0.730439
    5, 310, -0.552867964, 1.349000, 1.148029 , -0.708401
    5, 311, -0.547050782, 1.358000, 1.159817 , -0.706392
    5, 312, -0.541233599, 1.348000, 1.155336 , -0.694481
    5, 313, -0.535416417, 1.359000, 1.168817 , -0.693361
    5, 318, -0.506330505, 1.477000, 1.291681 , -0.716303
    5, 319, -0.500513323, 1.465000, 1.285298 , -0.703018
    5, 320, -0.494696140, 1.453000, 1.278804 , -0.689832
    5, 321, -0.488878958, 1.475000, 1.302218 , -0.692714
    5, 348, -0.331815034, 1.220000, 1.153452 , -0.397427
    5, 349, -0.325997852, 1.202000, 1.138693 , -0.384946
    5, 350, -0.320180669, 1.195000, 1.134268 , -0.376112
    5, 351, -0.314363487, 1.205000, 1.145947 , -0.372600
    5, 352, -0.308546305, 1.220000, 1.162387 , -0.370482
    5, 354, -0.296911940, 1.342000, 1.283280 , -0.392627
    5, 355, -0.291094758, 1.326000, 1.270216 , -0.380563
    5, 356, -0.285277575, 1.319000, 1.265691 , -0.371198
    5, 357, -0.279460393, 1.337000, 1.285130 , -0.368794
    5, 785, 2.210293658 , 1.614000, -0.963223, 1.295067
    5, 803, 2.315002941 , 1.822000, -1.234202, 1.340310
    5, 805, 2.326637305 , 1.827000, -1.253141, 1.329499
    5, 810, 2.355723217 , 1.839000, -1.299756, 1.300982
    6, 309, -0.558685146, 1.394000, 1.182046 , -0.738920
    6, 310, -0.552867964, 1.346000, 1.145476 , -0.706825
    6, 311, -0.547050782, 1.343000, 1.147006 , -0.698589
    6, 312, -0.541233599, 1.336000, 1.145051 , -0.688299
    6, 313, -0.535416417, 1.354000, 1.164516 , -0.690810
    6, 318, -0.506330505, 1.479000, 1.293430 , -0.717273
    6, 319, -0.500513323, 1.457000, 1.278279 , -0.699179
    6, 320, -0.494696140, 1.464000, 1.288486 , -0.695055
    6, 321, -0.488878958, 1.476000, 1.303101 , -0.693183
    6, 348, -0.331815034, 1.214000, 1.147780 , -0.395472
    6, 349, -0.325997852, 1.211000, 1.147219 , -0.387828
    6, 350, -0.320180669, 1.206000, 1.144709 , -0.379574
    6, 351, -0.314363487, 1.199000, 1.140241 , -0.370744
    6, 352, -0.308546305, 1.216000, 1.158576 , -0.369268
    6, 354, -0.296911940, 1.342000, 1.283280 , -0.392627
    6, 355, -0.291094758, 1.334000, 1.277879 , -0.382859
    6, 356, -0.285277575, 1.333000, 1.279125 , -0.375138
    6, 357, -0.279460393, 1.334000, 1.282247 , -0.367967
    6, 783, 2.198659293 , 1.587000, -0.932230, 1.284335
    6, 790, 2.239379570 , 1.666000, -1.032712, 1.307311
    6, 798, 2.285917029 , 1.738000, -1.139621, 1.312215
    6, 799, 2.291734211 , 1.754000, -1.157797, 1.317582
    6, 805, 2.326637305 , 1.825000, -1.251769, 1.328043
    6, 806, 2.332454488 , 1.843000, -1.271896, 1.333766
    6, 807, 2.338271670 , 1.824000, -1.266441, 1.312671
    6, 809, 2.349906035 , 1.850000, -1.299896, 1.316348
    6, 810, 2.355723217 , 1.843000, -1.302584, 1.303812
    7, 309, -0.558685146, 1.387000, 1.176111 , -0.735210
    7, 310, -0.552867964, 1.346000, 1.145476 , -0.706825
    7, 311, -0.547050782, 1.353000, 1.155546 , -0.703791
    7, 312, -0.541233599, 1.344000, 1.151907 , -0.692420
    7, 313, -0.535416417, 1.360000, 1.169677 , -0.693871
    7, 318, -0.506330505, 1.479000, 1.293430 , -0.717273
    7, 319, -0.500513323, 1.459000, 1.280034 , -0.700139
    7, 320, -0.494696140, 1.458000, 1.283205 , -0.692206
    7, 321, -0.488878958, 1.475000, 1.302218 , -0.692714
    7, 348, -0.331815034, 1.216000, 1.149670 , -0.396124
    7, 349, -0.325997852, 1.201000, 1.137745 , -0.384625
    7, 350, -0.320180669, 1.212000, 1.150404 , -0.381463
    7, 351, -0.314363487, 1.200000, 1.141192 , -0.371053
    7, 352, -0.308546305, 1.216000, 1.158576 , -0.369268
    7, 354, -0.296911940, 1.341000, 1.282324 , -0.392335
    7, 355, -0.291094758, 1.328000, 1.272131 , -0.381137
    7, 356, -0.285277575, 1.324000, 1.270489 , -0.372605
    7, 357, -0.279460393, 1.335000, 1.283208 , -0.368242
    7, 787, 2.221928023 , 1.625000, -0.984891, 1.292522
    7, 796, 2.274282664 , 1.735000, -1.122337, 1.323096
    7, 797, 2.280099846 , 1.754000, -1.142390, 1.330963
    7, 805, 2.326637305 , 1.839000, -1.261372, 1.338231
    7, 809, 2.349906035 , 1.829000, -1.285140, 1.301406
    7, 810, 2.355723217 , 0.057000, -0.040286, 0.040324
    8, 309, -0.558685146, 1.381000, 1.171023 , -0.732029
    8, 310, -0.552867964, 1.352000, 1.150582 , -0.709976
    8, 311, -0.547050782, 1.346000, 1.149568 , -0.700150
    8, 312, -0.541233599, 1.344000, 1.151907 , -0.692420
    8, 313, -0.535416417, 1.357000, 1.167096 , -0.692340
    8, 318, -0.506330505, 1.475000, 1.289932 , -0.715333
    8, 319, -0.500513323, 1.457000, 1.278279 , -0.699179
    8, 320, -0.494696140, 1.465000, 1.289366 , -0.695530
    8, 321, -0.488878958, 1.475000, 1.302218 , -0.692714
    8, 348, -0.331815034, 1.218000, 1.151561 , -0.396775
    8, 349, -0.325997852, 1.204000, 1.140587 , -0.385586
    8, 350, -0.320180669, 1.214000, 1.152303 , -0.382092
    8, 351, -0.314363487, 1.215000, 1.155457 , -0.375692
    8, 352, -0.308546305, 1.218000, 1.160481 , -0.369875
    8, 354, -0.296911940, 1.342000, 1.283280 , -0.392627
    8, 355, -0.291094758, 1.326000, 1.270216 , -0.380563
    8, 356, -0.285277575, 1.328000, 1.274327 , -0.373731
    8, 357, -0.279460393, 1.334000, 1.282247 , -0.367967
    8, 786, 2.216110840 , 1.626000, -0.977957, 1.299029
    8, 792, 2.251013935 , 1.673000, -1.052254, 1.300650
    8, 804, 2.320820123 , 1.822000, -1.241978, 1.333108
    8, 805, 2.326637305 , 1.802000, -1.235993, 1.311306
    8, 807, 2.338271670 , 1.810000, -1.256720, 1.302595
    9, 309, -0.558685146, 1.405000, 1.191374 , -0.744751
    9, 310, -0.552867964, 1.346000, 1.145476 , -0.706825
    9, 311, -0.547050782, 1.326000, 1.132487 , -0.689746
    9, 312, -0.541233599, 1.342000, 1.150193 , -0.691390
    9, 313, -0.535416417, 1.357000, 1.167096 , -0.692340
    9, 318, -0.506330505, 1.474000, 1.289057 , -0.714848
    9, 319, -0.500513323, 1.454000, 1.275647 , -0.697740
    9, 320, -0.494696140, 1.470000, 1.293766 , -0.697903
    9, 321, -0.488878958, 1.478000, 1.304867 , -0.694123
    9, 348, -0.331815034, 1.213000, 1.146834 , -0.395146
    9, 349, -0.325997852, 1.206000, 1.142482 , -0.386227
    9, 350, -0.320180669, 1.193000, 1.132370 , -0.375483
    9, 351, -0.314363487, 1.206000, 1.146898 , -0.372909
    9, 352, -0.308546305, 1.215000, 1.157623 , -0.368964
    9, 354, -0.296911940, 1.342000, 1.283280 , -0.392627
    9, 355, -0.291094758, 1.326000, 1.270216 , -0.380563
    9, 356, -0.285277575, 1.328000, 1.274327 , -0.373731
    9, 357, -0.279460393, 1.336000, 1.284169 , -0.368518
    9, 788, 2.227745205 , 1.645000, -1.004608, 1.302609
    9, 796, 2.274282664 , 1.725000, -1.115868, 1.315470
    9, 804, 2.320820123 , 1.818000, -1.239251, 1.330181
    9, 805, 2.326637305 , 1.819000, -1.247654, 1.323677
    9, 808, 2.344088852 , 1.855000, -1.295709, 1.327465
    9, 810, 2.355723217 , 1.859000, -1.313892, 1.315131
   10, 309, -0.558685146, 1.383000, 1.172719 , -0.733089
   10, 310, -0.552867964, 1.344000, 1.143774 , -0.705775
   10, 311, -0.547050782, 1.347000, 1.150422 , -0.700670
   10, 312, -0.541233599, 1.353000, 1.159621 , -0.697057
   10, 313, -0.535416417, 1.361000, 1.170537 , -0.694381
   10, 318, -0.506330505, 1.474000, 1.289057 , -0.714848
   10, 319, -0.500513323, 1.453000, 1.274770 , -0.697260
   10, 320, -0.494696140, 1.467000, 1.291126 , -0.696479
   10, 321, -0.488878958, 1.475000, 1.302218 , -0.692714
   10, 348, -0.331815034, 1.219000, 1.152507 , -0.397101
   10, 349, -0.325997852, 1.196000, 1.133009 , -0.383024
   10, 350, -0.320180669, 1.202000, 1.140913 , -0.378315
   10, 351, -0.314363487, 1.209000, 1.149751 , -0.373836
   10, 352, -0.308546305, 1.217000, 1.159528 , -0.369571
   10, 354, -0.296911940, 1.338000, 1.279455 , -0.391457
   10, 355, -0.291094758, 1.323000, 1.267342 , -0.379702
   10, 356, -0.285277575, 1.325000, 1.271448 , -0.372887
   10, 357, -0.279460393, 1.335000, 1.283208 , -0.368242
   10, 358, -0.273643211, 1.354000, 1.303621 , -0.365906
   10, 788, 2.227745205 , 1.640000, -1.001554, 1.298649
   10, 794, 2.262648299 , 1.724000, -1.099851, 1.327594
   10, 801, 2.303368576 , 1.793000, -1.199130, 1.333018
   10, 805, 2.326637305 , 1.836000, -1.259314, 1.336048
   10, 807, 2.338271670 , 1.808000, -1.255332, 1.301156
   10, 809, 2.349906035 , 1.839000, -1.292166, 1.308521
   11, 310, -0.552867964, 1.345000, 1.144625 , -0.706300
   11, 311, -0.547050782, 1.348000, 1.151276 , -0.701190
   11, 312, -0.541233599, 1.338000, 1.146765 , -0.689329
   11, 313, -0.535416417, 1.357000, 1.167096 , -0.692340
   11, 318, -0.506330505, 1.476000, 1.290806 , -0.715818
   11, 319, -0.500513323, 1.461000, 1.281788 , -0.701099
   11, 320, -0.494696140, 1.464000, 1.288486 , -0.695055
   11, 321, -0.488878958, 1.474000, 1.301336 , -0.692244
   11, 348, -0.331815034, 1.215000, 1.148725 , -0.395798
   11, 349, -0.325997852, 1.211000, 1.147219 , -0.387828
   11, 350, -0.320180669, 1.214000, 1.152303 , -0.382092
   11, 351, -0.314363487, 1.201000, 1.142143 , -0.371363
   11, 352, -0.308546305, 1.217000, 1.159528 , -0.369571
   11, 354, -0.296911940, 1.340000, 1.281368 , -0.392042
   11, 355, -0.291094758, 1.329000, 1.273089 , -0.381424
   11, 356, -0.285277575, 1.319000, 1.265691 , -0.371198
   11, 357, -0.279460393, 1.336000, 1.284169 , -0.368518
   11, 358, -0.273643211, 1.354000, 1.303621 , -0.365906
   11, 786, 2.216110840 , 1.618000, -0.973146, 1.292637
   11, 799, 2.291734211 , 1.761000, -1.162418, 1.322840
   11, 800, 2.297551394 , 1.767000, -1.174080, 1.320540
   11, 809, 2.349906035 , 1.824000, -1.281627, 1.297848
   12, 309, -0.558685146, 1.368000, 1.159999 , -0.725138
   12, 310, -0.552867964, 1.348000, 1.147178 , -0.707875
   12, 311, -0.547050782, 1.329000, 1.135049 , -0.691307
   12, 312, -0.541233599, 1.348000, 1.155336 , -0.694481
   12, 313, -0.535416417, 1.356000, 1.166236 , -0.691830
   12, 318, -0.506330505, 1.471000, 1.286434 , -0.713393
   12, 319, -0.500513323, 1.472000, 1.291439 , -0.706377
   12, 320, -0.494696140, 1.459000, 1.284085 , -0.692681
   12, 321, -0.488878958, 1.472000, 1.299570 , -0.691305
   12, 348, -0.331815034, 1.219000, 1.152507 , -0.397101
   12, 349, -0.325997852, 1.217000, 1.152903 , -0.389749
   12, 350, -0.320180669, 1.197000, 1.136167 , -0.376741
   12, 351, -0.314363487, 1.197000, 1.138339 , -0.370126
   12, 352, -0.308546305, 1.216000, 1.158576 , -0.369268
   12, 354, -0.296911940, 1.340000, 1.281368 , -0.392042
   12, 355, -0.291094758, 1.329000, 1.273089 , -0.381424
   12, 356, -0.285277575, 1.324000, 1.270489 , -0.372605
   12, 357, -0.279460393, 1.335000, 1.283208 , -0.368242
   12, 358, -0.273643211, 1.356000, 1.305547 , -0.366447
   12, 787, 2.221928023 , 1.627000, -0.986104, 1.294113
   12, 792, 2.251013935 , 1.690000, -1.062946, 1.313867
   12, 800, 2.297551394 , 1.770000, -1.176073, 1.322782
   12, 803, 2.315002941 , 1.833000, -1.241653, 1.348402
   12, 808, 2.344088852 , 1.835000, -1.281739, 1.313153
   12, 809, 2.349906035 , 1.854000, -1.302706, 1.319194
   12, 810, 2.355723217 , 1.841000, -1.301170, 1.302397
   13, 309, -0.558685146, 1.366000, 1.158304 , -0.724078
   13, 310, -0.552867964, 1.346000, 1.145476 , -0.706825
   13, 311, -0.547050782, 1.345000, 1.148714 , -0.699630
   13, 312, -0.541233599, 1.341000, 1.149336 , -0.690875
   13, 313, -0.535416417, 1.357000, 1.167096 , -0.692340
   13, 318, -0.506330505, 1.480000, 1.294304 , -0.717758
   13, 319, -0.500513323, 1.458000, 1.279156 , -0.699659
   13, 320, -0.494696140, 1.468000, 1.292006 , -0.696954
   13, 321, -0.488878958, 1.475000, 1.302218 , -0.692714
   13, 348, -0.331815034, 1.220000, 1.153452 , -0.397427
   13, 349, -0.325997852, 1.210000, 1.146271 , -0.387508
   13, 350, -0.320180669, 1.209000, 1.147557 , -0.380518
